"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv","Extreme"
"ATF7IP",1,5,8,3,3,1.09380890361411,20.1450971787385,20.1450971787385,5.58359040967338,0.907220765329703,3.55190208578549e-07,3.84938659836465e-08,0.0278996543219564,0.982260211098466,0.000455022336536359,5.28355806244107e-05,1,2.32534033139942e-08,2.48242998934284e-05,FALSE
"CDKN2A.p14arf",12,14,0,1,6,1.67241053711289,1.72704081800569,1.72704081800569,64.4815276398718,0.179190899959093,0.625350934611303,0.388163093898142,2.14153800000398e-08,0.715869508027843,0.830632506380491,0.896241183646578,5.14397427600957e-05,1.62973743722539e-07,0.0001648264978617,FALSE
"ATM",1,29,9,3,8,4.75687864598851,11.6930143653657,11.6930143653657,7.71385195417237,0.00321292862020384,2.13768597380204e-05,0.000107274120156653,0.000548659689634232,0.402346949973799,0.0114104926868278,0.0362831449678697,0.448745146049752,1.0387172206805e-06,0.000997999505629821,FALSE
"TTN",122,416,18,1,16,1.05620656227538,0.371859948231501,0.371859948231501,1.84838038597336,0.591762366873912,6.62034315601634e-06,9.93458660003554e-07,0.123091940142848,0.879859613265947,0.00489294284946192,0.000909061981458491,1,2.06871243357831e-06,0.00189297038684004,FALSE
"PLPPR4",7,73,3,1,2,4.58075111045952,2.23511350711343,2.23511350711343,3.54176642099127,3.62141257759241e-07,0.21019177626811,1.69504855096481e-06,0.120950803330927,0.00115981773485026,0.830632506380491,0.00141617621544955,1,3.36232170705664e-06,0.00293683517830911,FALSE
"CMAS",0,4,2,6,0,3.5597539158321,47.1650430753381,47.1650430753381,0,0.154613039341942,8.40614152730623e-08,4.24442703983452e-07,1,0.711589773086314,0.00013461034632393,0.00046471595045351,1,6.65207353001129e-06,0.0055576628240303,FALSE
"SPRR1B",0,2,6,0,0,2.62158722090055,70.6612473552059,70.6612473552059,0,0.369436980169365,1.31548909099166e-07,6.67265048326371e-07,1,0.779639422930432,0.000194449525942275,0.00067485079834945,1,1.01558264132828e-05,0.00813143168156845,FALSE
"PLXND1",2,10,3,7,1,1.79543964845879,17.1142109552271,17.1142109552271,1.21842568181407,0.325099459447592,7.23502635913142e-07,1.58752537904316e-06,0.514407887143044,0.762639823515306,0.00081781333245335,0.0013866312583497,1,1.22642926076999e-05,0.00942682586998245,FALSE
"ARID2",7,16,10,3,3,0.965075490203416,5.90677758168367,5.90677758168367,4.92805099451786,0.933334870291877,5.74320724825439e-05,2.51872864813762e-05,0.0371046149882568,0.988227809861548,0.0227585814681477,0.0138285399150322,1,1.3909297463921e-05,0.0102800407717964,FALSE
"OR11H1",5,20,3,0,1,5.72721293182401,11.2323969803592,11.2323969803592,10.9274995593006,2.05713956853426e-05,0.00450160991345883,1.64577181092085e-05,0.0861535116633589,0.0329416616241286,0.508840800570734,0.0098828597245797,1,2.05116826403895e-05,0.0145982405043602,FALSE
"TXNDC12",0,2,6,0,0,3.78305336176218,59.9650369368456,59.9650369368456,0,0.219175908488754,3.38722106696387e-07,2.16546884967972e-06,1,0.729168295190355,0.000455022336536359,0.00173381872564356,1,3.04094054733861e-05,0.0208695405563067,FALSE
"NAV3",20,131,3,4,8,2.17997989488243,0.876243575150603,0.876243575150603,3.30447183743041,0.000247387754230055,0.758865962228912,0.000105919525118958,0.0269464697109939,0.160218841903103,0.83674704250589,0.0362831449678697,1,3.92924238148407e-05,0.026035972966413,FALSE
"COL4A2",4,32,9,7,1,2.64469551306261,9.01035252225601,9.01035252225601,1.03167979896008,0.0187981224591659,1.07835158635883e-06,6.34304994417967e-06,0.566482189546632,0.584628572400152,0.00113429758428651,0.00468800183566756,1,4.86395457819366e-05,0.0309595673141828,FALSE
"SPPL2A",0,11,0,0,3,8.66738277569488,0,0,18.4200442502771,0.00166196208216496,0.530917385652331,0.00287019057716975,0.00128823896230887,0.330181671996831,0.830632506380491,0.274698722989248,0.728082349991977,4.99451804090167e-05,0.0309595673141828,FALSE
"SMAD4",3,12,9,0,1,2.55592274346686,13.8946249488412,13.8946249488412,4.83971266692517,0.0721714405421362,3.81642543245686e-06,2.30170233770366e-05,0.180916200117761,0.711589773086314,0.00318854048304744,0.0134028824610041,1,5.57538274492675e-05,0.0325475679985797,FALSE
"CTNNB1",0,25,0,0,1,12.0095320615791,0,0,3.11647570166547,1.84258308933982e-05,0.485699506188342,1.5916370294855e-05,0.26234075669331,0.0321882514952309,0.830632506380491,0.00986609585761079,1,5.58945537028066e-05,0.0325475679985797,FALSE
"MRGPRX3",2,6,7,0,0,1.46571063911276,23.4249919232003,23.4249919232003,0,0.5638437110587,1.77443569970848e-06,4.9913356210407e-06,1,0.86880127910384,0.0017048778202799,0.00383654021175673,1,6.59245976771805e-05,0.0372590314401383,FALSE
"FLCN",0,6,6,0,1,4.48672377775375,35.504595232602,35.504595232602,5.55884072214872,0.0631589591027845,6.43463812854961e-06,3.80265543838965e-05,0.160135411458784,0.711589773086314,0.00489294284946192,0.0186411068078101,1,7.92167423062651e-05,0.043492254861634,FALSE
"NSG2",0,9,6,1,0,6.05009096830868,38.7207556173746,38.7207556173746,0,0.0139589547235196,1.12154736164882e-06,6.59225247101602e-06,1,0.540377666257398,0.00113429758428651,0.004691730499372,1,8.5235289508212e-05,0.045496703421939,FALSE
"TCEA2",1,2,5,0,1,1.70566239420514,29.0091949280323,29.0091949280323,11.6628757373635,0.579043526141845,1.9681475207034e-05,8.95039611226167e-05,0.0810231365104934,0.874032321105015,0.0111235066934813,0.0337236885672981,1,9.30725775197816e-05,0.048337368908652,FALSE
"HOXB3",1,16,1,0,2,8.213309191188,7.60499868328257,7.60499868328257,11.4244609149222,0.000126097205395914,0.150967189610145,0.000555420044320631,0.0170438062333987,0.121154194944394,0.830632506380491,0.112026569980307,1,0.000118972289382624,0.0596000479784837,FALSE
"ZNF800",2,10,4,1,3,2.82134651649155,11.2402513900696,11.2402513900696,13.4726575106905,0.0740968328888725,0.000837502007557611,0.00318787299690215,0.00302351861552215,0.711589773086314,0.180825152553113,0.29032306876053,1,0.000120961795959662,0.0596000479784837,FALSE
"NKX2-1",0,3,4,0,1,2.5022900734752,59.2822913769502,59.2822913769502,6.44571112826989,0.340977856389976,1.3867436795989e-05,7.09598224001295e-05,0.140254973579025,0.769327968281179,0.00918885053350775,0.0290119988774657,1,0.000124581909315746,0.0598491492352845,FALSE
"NFE2L2",0,16,1,0,2,11.4772718905856,5.92381132028152,5.92381132028152,10.1944001484143,9.6508788068661e-05,0.214644237269596,0.000499437267896918,0.0209356405975751,0.106210941160349,0.830632506380491,0.107707911027235,1,0.000130369355275994,0.0607092700558661,FALSE
"SLFN11",3,8,3,6,1,0.904473557420245,9.33073748547697,9.33073748547697,1.75958052930374,0.865211595325924,7.04992615855327e-05,2.63324528156916e-05,0.404772193953899,0.975584204658077,0.0260521886659153,0.0140556781473981,1,0.000132690952453496,0.0607092700558661,FALSE
"RPL5",1,2,1,0,4,1.44620318943947,4.73624980373836,4.73624980373836,37.0768751631458,0.699760323483032,0.249915191352316,0.511609946049639,2.14216665773428e-05,0.922832638532012,0.830632506380491,0.896241183646578,0.0374217040863835,0.000136131710446019,0.060835045300714,FALSE
"SLC30A3",3,1,6,0,0,0.222764045889394,12.2000652669452,12.2000652669452,0,0.121054710931741,0.0001468021191664,1.25352427536862e-05,1,0.711589773086314,0.0454991858371218,0.00860275802695838,1,0.000154020107288377,0.06610721993707,FALSE
"FAM83C",3,15,6,1,1,2.55951224473028,16.1436653122411,16.1436653122411,3.79425827567584,0.0599879340118348,1.01056028164459e-05,5.68359807103791e-05,0.222924820393791,0.710390724426958,0.00719219495262313,0.0253990745425731,1,0.000155542086419547,0.06610721993707,FALSE
"RIT1",1,8,1,0,2,7.76766426238139,7.30609118639927,7.30609118639927,31.8098602428423,0.00162298586238019,0.157659568809742,0.00520431218943063,0.00248073032535342,0.330159277272925,0.830632506380491,0.36996198631891,1,0.000158250006094152,0.06610721993707,FALSE
"AQP9",0,5,0,6,1,3.33225221747737,29.2661685774141,29.2661685774141,6.15445851159985,0.157430521259947,1.83458083933274e-05,9.24527071886061e-05,0.146217447765519,0.711589773086314,0.0106828198207933,0.0341648311795434,1,0.000165077130345748,0.0666605559686603,FALSE
"ZFAND1",0,3,6,0,0,4.06719703268286,42.9598671487647,42.9598671487647,0,0.143604124150595,2.23979147373488e-06,1.36462912342372e-05,1,0.711589773086314,0.00204951585520426,0.0090423149088656,1,0.000166512629397153,0.0666605559686603,FALSE
"SERPINA9",3,37,0,0,0,5.47439613763528,0,0,0,2.77009618279145e-05,0.276337219047913,1.58373933043521e-05,1,0.0409462832680927,0.830632506380491,0.00986609585761079,1,0.000190890267248833,0.0748601505194608,FALSE
"AMN",0,0,0,4,0,0,41.1155532039616,41.1155532039616,0,0.226809976010515,5.80334352591194e-05,2.45923732360431e-05,1,0.73050778468997,0.0227585814681477,0.0138285399150322,1,0.000285593055000422,0.109759122897762,FALSE
"PRAMEF15",3,18,0,0,2,4.61266194616455,0,0,12.1031038931884,0.0010529515803096,0.416202131036639,0.00190157992818574,0.0153442337402343,0.289050250960419,0.830632506380491,0.22280951158547,1,0.000333860459942548,0.12471100735473,FALSE
"OR5M10",5,14,7,0,1,1.50659054651092,12.4870206119719,12.4870206119719,2.94780408425902,0.377015232875687,2.38632143468864e-05,0.000109514072030414,0.274396103000443,0.78236432732226,0.0123933926186424,0.0362831449678697,1,0.000342952511994565,0.12471100735473,FALSE
"PCDHGB7",5,13,8,0,2,1.13620061852353,8.78114891255888,8.78114891255888,2.74631725764155,0.788836569003936,9.14250911083769e-05,0.000173395794142328,0.173866649903476,0.952603913921452,0.0313718669774745,0.0510591366235487,1,0.000343967703465897,0.12471100735473,FALSE
"SCRN1",0,16,0,0,1,11.1051320287117,0,0,5.55823804755753,0.000125570131118913,0.532574306505885,0.000194771474986255,0.160150833061071,0.121154194944394,0.830632506380491,0.055861621840834,1,0.000354828328354873,0.126266317734578,FALSE
"ZNF285",2,9,8,0,1,1.59404633159524,11.8414009751783,11.8414009751783,3.58194925304138,0.444634476530327,5.50292865282298e-05,0.000137791310044766,0.233942662223365,0.812253645879529,0.0227585814681477,0.042706416351939,1,0.000365626875313829,0.127743382473283,FALSE
"PRAMEF19",2,23,1,0,0,8.13056161533144,3.8101893107886,3.8101893107886,0,5.79911243159259e-06,0.30212141437095,3.42802075994353e-05,1,0.0123817493872759,0.830632506380491,0.0178034721413716,1,0.00038671304767246,0.130502479804262,FALSE
"MAX",2,4,2,0,2,3.89487075009054,12.0519154799665,12.0519154799665,42.4243134702475,0.0688975358050354,0.019044561865269,0.0241831903312798,0.00141910532367789,0.711589773086314,0.830632506380491,0.642744378154734,0.751739945691426,0.000387106648045532,0.130502479804262,FALSE
"RYR2",107,286,20,0,9,0.894044040828189,0.401681395052959,0.401681395052959,1.37389186861214,0.32467043677375,3.54179616272043e-05,0.000127314912328869,0.278315974446002,0.762639823515306,0.017014788765709,0.0407747225885257,1,0.000398553600976292,0.130892410244832,FALSE
"OPRL1",4,10,6,0,0,2.22268247704583,20.3599121226738,20.3599121226738,0,0.122206357020063,6.25881724569677e-06,3.57591546754632e-05,1,0.711589773086314,0.00489294284946192,0.01808283990115,1,0.000401886563511922,0.130892410244832,FALSE
"SF1",0,12,0,0,2,9.41823728384334,0,0,10.3562423959938,0.000832459731689661,0.596196665284344,0.00187647894523169,0.0203515706919743,0.264096669639477,0.830632506380491,0.22121729700351,1,0.000426687275500992,0.13367370917289,FALSE
"MYT1",6,13,4,8,0,1.00626462900857,6.43385618224915,6.43385618224915,0,0.989123658997338,6.05718385732201e-05,3.88033030970236e-05,1,0.998906132496154,0.02327896900046,0.0186411068078101,1,0.000432928653793963,0.13367370917289,FALSE
"PIK3CA",2,32,0,0,1,4.70764044689771,0,0,1.92721393446493,0.000770216824163894,0.172922966413318,0.000107289586579351,0.379485158528099,0.264096669639477,0.830632506380491,0.0362831449678697,1,0.000452297469379803,0.13367370917289,FALSE
"MAP3K12",6,3,2,1,4,0.323782043884878,2.61482754115977,2.61482754115977,12.5245599013897,0.0800651352129035,0.193455826736858,0.0361808244616816,0.0011317363701469,0.711589773086314,0.830632506380491,0.733033242626458,0.679607690273213,0.000454645606577597,0.13367370917289,FALSE
"MEMO1",0,5,0,1,3,5.17397555322331,5.95431654218338,5.95431654218338,28.9826441739547,0.0494978318698751,0.213503276583666,0.114514182385701,0.000360551309527648,0.702798520926465,0.830632506380491,0.880257827165299,0.364650208625436,0.000458090234096042,0.13367370917289,FALSE
"CD5L",2,14,9,0,2,2.03681850514234,9.24294784963455,9.24294784963455,4.82356988876064,0.203021266164535,0.000150621287637542,0.000550459664288239,0.0750917836687869,0.723928177687259,0.0459418835435399,0.112026569980307,1,0.000458562242757421,0.13367370917289,FALSE
"CCDC28A",0,8,0,0,1,14.3348594837488,0,0,16.2756224523998,0.000225727929320851,0.655738894378617,0.000701697100376708,0.0589860437260947,0.160218841903103,0.830632506380491,0.132194986525188,1,0.000459120774636279,0.13367370917289,FALSE
"CSMD3",68,306,40,7,15,1.34680304448539,1.3298325368912,1.3298325368912,5.41879939601941,0.0208704045082151,0.135341142805849,0.0659142630479996,0.000759454223876633,0.611077663333116,0.830632506380491,0.840379638752169,0.574756536886767,0.00054575731659201,0.156526456651225,FALSE
"ZNF268",1,10,9,0,0,2.32199375723586,14.9660990364847,14.9660990364847,0,0.197664030989228,1.60898898516892e-05,5.11548441435306e-05,1,0.722297699501285,0.0103061107796687,0.023975402074685,1,0.000556598127086194,0.157288082501299,FALSE
"CETN3",0,0,4,0,0,0,41.7135491337296,41.7135491337296,0,0.320574764711252,5.48763645920047e-05,5.3290652984983e-05,1,0.761738625101838,0.0227585814681477,0.0243817425657008,1,0.000577657334820403,0.160873381824766,FALSE
"KDM5C",8,9,4,1,5,0.571983859225873,2.38912228353141,2.38912228353141,9.92288187920725,0.231384934132897,0.136150265649693,0.05652894119471,0.00104590230063353,0.732969712484316,0.830632506380491,0.815027733412099,0.669935286965794,0.000634745354785027,0.174126498209091,FALSE
"PRPF38B",0,5,0,6,0,3.81100371237993,32.3231167768142,32.3231167768142,0,0.113840483772498,1.07373251805321e-05,6.00102024808091e-05,1,0.711589773086314,0.00736887288103943,0.0262080920652552,1,0.000643369138886629,0.174126498209091,FALSE
"PROC",4,4,6,0,1,0.78257921015409,10.0215369207923,10.0215369207923,5.83993526701658,0.70746132718724,0.000299092187167505,0.000399162260878883,0.153251731393314,0.926002394037775,0.0809486685719826,0.0935402683542513,1,0.000654654777717312,0.174720086230776,FALSE
"ENAH",1,1,6,0,0,0.254912872041572,10.1654798413653,10.1654798413653,0,0.217531235789512,0.00110139100050421,6.34917151026704e-05,1,0.72904135501986,0.227573435114935,0.0271123732758425,1,0.000677113816718533,0.178238617836484,FALSE
"ASCL3",0,2,1,0,3,2.0086310224496,11.7063585318355,11.7063585318355,32.640598584262,0.514769780591952,0.103769086927808,0.257567346851713,0.000256763536526211,0.850616227006188,0.830632506380491,0.896241183646578,0.351677928164328,0.00070259527784311,0.182446903500449,FALSE
"KRTAP5-10",0,12,0,0,1,11.2033399266364,0,0,13.0544336273415,0.000266809062286599,0.726607376118108,0.000942309365346228,0.0728169847802215,0.160218841903103,0.830882183182829,0.161673363968689,1,0.000726437764827947,0.185100916337288,FALSE
"NMRK2",0,2,5,0,0,2.13427909086473,38.2471763477866,38.2471763477866,0,0.479070241916151,1.68852418731547e-05,6.92050309375469e-05,1,0.830976971818594,0.010466671220469,0.0289096494455631,1,0.00073208105961875,0.185100916337288,FALSE
"TESPA1",1,9,6,0,3,1.88597571503301,10.1070925112079,10.1070925112079,6.44268733493856,0.347489331975188,0.00113184233125763,0.00369350940382185,0.0199081066394502,0.772450900583677,0.231377470611134,0.315442118683736,1,0.000773382504471565,0.190821615409447,FALSE
"TCEAL5",0,10,0,0,2,6.67300059331751,0,0,20.5807449994297,0.00775752871297175,0.523416328999828,0.0129301828145121,0.00570815827420338,0.4740448422388,0.830632506380491,0.521988220511899,1,0.000776016046150962,0.190821615409447,FALSE
"FAM47C",19,68,5,0,6,1.53157406248419,1.33036509053375,1.33036509053375,10.6412597040009,0.0794040958258359,0.578410610889529,0.214385822328989,0.000348435263839832,0.711589773086314,0.830632506380491,0.896241183646578,0.364650208625436,0.000784497690328179,0.190821615409447,FALSE
"HNF4A",4,23,0,0,1,4.2256590143135,0,0,5.8694933847142,0.000607691929171095,0.261564244522635,0.000519492512885078,0.152562044935794,0.238314451243913,0.830632506380491,0.109698550852744,1,0.00082764577865424,0.198800516032748,FALSE
"SENP2",1,3,7,0,0,1.22136888425903,15.7154874437805,15.7154874437805,0,0.814685127110019,5.27556046716615e-05,8.25804120613283e-05,1,0.958755787652135,0.0227585814681477,0.0330506583667632,1,0.000858979814130967,0.201786869952824,FALSE
"OR2B11",4,32,0,0,1,4.36006766558797,0,0,3.1089493170283,0.000195142236112167,0.387546836247865,0.000319333160025526,0.262856242954316,0.14568332317835,0.830632506380491,0.0796922857539026,1,0.000871739109585268,0.201786869952824,FALSE
"GLRX3",2,2,0,7,0,0.750385973224826,12.5191355876064,12.5191355876064,0,0.742913740271224,8.50781534826872e-05,8.52216098022884e-05,1,0.938890525028073,0.0302752184689503,0.0330506583667632,1,0.000883769869485018,0.201786869952824,FALSE
"UGDH",1,4,6,0,0,1.94140296463613,22.1245641521079,22.1245641521079,0,0.402048333339605,2.05805927603331e-05,8.59977580317528e-05,1,0.792873642595838,0.0112993334423589,0.0330506583667632,1,0.000891039053047105,0.201786869952824,FALSE
"CDKN1B",0,1,2,0,2,1.35115039840607,25.8656606956304,25.8656606956304,24.9613060882714,0.817470958827913,0.00636186145980933,0.0218269142024913,0.00395323073332371,0.960295998584007,0.639805801216715,0.626035663201422,1,0.000893744606822455,0.201786869952824,FALSE
"APC",5,18,3,3,8,1.05523845943469,2.70972897932888,2.70972897932888,7.75139237922043,0.90600057252381,0.0861373346401768,0.163367219941521,0.000534290299789419,0.981926246595803,0.830632506380491,0.896241183646578,0.448745146049752,0.000903084451287617,0.201786869952824,FALSE
"POTEH",7,22,0,0,1,3.4433732903023,0,0,8.61154393307526,0.0010884691095614,0.195537225326531,0.000836351027028504,0.107608180061559,0.290500311240719,0.830632506380491,0.148808530883146,1,0.000928396422568478,0.205058225931907,FALSE
"MAP3K3",3,6,0,0,4,1.36967479790225,0,0,19.9232146897568,0.611708149952641,0.281150569508675,0.432986743562604,0.000217275609163311,0.890749033756629,0.830632506380491,0.896241183646578,0.347930675473516,0.000966306462631628,0.209899256208473,FALSE
"KRT73",14,4,2,0,2,0.163929021859879,0.66561290690355,0.66561290690355,4.41624507538746,0.000243341777340644,0.568150837506964,0.00110175245183353,0.0863575946398988,0.160218841903103,0.830632506380491,0.175179393677425,1,0.000976195169034688,0.209899256208473,FALSE
"OTOA",7,14,1,6,4,1.02878009071128,3.57558662582305,3.57558662582305,9.7478521115591,0.947885509136111,0.0175356958712817,0.0364927426435417,0.00264702077397355,0.991215060054392,0.830632506380491,0.733033242626458,1,0.000989633121274203,0.209899256208473,FALSE
"ALDH1B1",1,21,1,0,0,9.18798540211311,6.28461552137662,6.28461552137662,0,1.76732465643203e-05,0.185367848891323,9.70702475715512e-05,1,0.0321882514952309,0.830632506380491,0.0351943750440553,1,0.00099400667750682,0.209899256208473,FALSE
"PGAP4",2,6,2,0,4,1.44586724992632,6.57237119962128,6.57237119962128,15.308201770007,0.577973447797046,0.0621518524554953,0.175606744248607,0.000560464378913096,0.873836901776371,0.830632506380491,0.896241183646578,0.448745146049752,0.00100648137454118,0.210223327099819,FALSE
"POSTN",2,26,0,7,4,3.73113544146285,5.82463816040277,5.82463816040277,5.61150181718161,0.00664528888632021,0.00519579863876574,0.00698653170873709,0.0149493253738253,0.440330590481135,0.551615837803991,0.414470170292574,1,0.00106186688623788,0.219406818128464,FALSE
"ELF3",0,3,0,0,3,3.20522481733847,0,0,31.8870069735043,0.225030874319768,0.629114497862436,0.385198982562548,0.000274519615032521,0.729841822237405,0.830632506380491,0.896241183646578,0.351677928164328,0.00107378252762336,0.219415368992184,FALSE
"LGI3",2,4,6,0,0,1.00482152546548,15.367057638379,15.367057638379,0,0.99475046283761,6.89172103983671e-05,0.00010811494254459,1,0.999564881272085,0.025966923823824,0.0362831449678697,1,0.0010954547204477,0.219415368992184,FALSE
"RYR3",55,108,4,0,2,0.750716059026297,0.184783607667378,0.184783607667378,0.669929991788769,0.0857612328063151,2.93109928498625e-05,0.000158559804126379,0.682345344732967,0.711589773086314,0.0144420522718707,0.0476075811889453,1,0.00109616337548135,0.219415368992184,FALSE
"PANK2",1,2,5,0,0,1.10900201496846,24.0243033597218,24.0243033597218,0,0.913232686658552,4.78079133184872e-05,0.00011935671850638,1,0.984111670414465,0.0218732586268583,0.0388738763189594,1,0.00119755297309188,0.237238947741582,FALSE
"SETBP1",20,59,6,1,7,1.38618973983554,1.91691202833784,1.91691202833784,8.60971073105626,0.184221603574924,0.158707968106569,0.248380505529377,0.000511019754744897,0.719323192646079,0.830632506380491,0.896241183646578,0.448745146049752,0.00126570624875877,0.246675053521991,FALSE
"TGFBR3",2,15,7,1,1,2.85362288900609,11.2547832586093,11.2547832586093,2.41702740289659,0.0514574590720122,7.63642061043512e-05,0.000397600498192374,0.320678252201618,0.703422899562261,0.0276870676320984,0.0935402683542513,1,0.00127085919539327,0.246675053521991,FALSE
"MAF1",0,10,0,0,0,16.12579098949,0,0,0,4.15556246943227e-05,0.653755296795799,0.000130093657225383,1,0.0570380631518647,0.830632506380491,0.040981634708901,1,0.00129407490286204,0.24866943333397,FALSE
"ISOC1",1,11,0,0,2,5.52144955647348,0,0,12.6669164148856,0.00492260730435146,0.496296785203412,0.0094491550751632,0.0141182333209461,0.4204125420463,0.830632506380491,0.470211111766809,1,0.00132366389957106,0.251836886080767,FALSE
"UNC13C",14,59,0,0,2,1.22411584227806,0,0,0.74357654923993,0.469955886072111,0.00050808125512114,0.000216715298721692,0.64248422578032,0.826001308585171,0.125170376902664,0.0612411938270006,1,0.00137556124407301,0.258047150477517,FALSE
"BABAM2",0,5,0,6,0,4.04738650345478,27.5288636248832,27.5288636248832,0,0.0976321281663237,2.54309426220845e-05,0.000140092552494253,1,0.711589773086314,0.0128600261427888,0.0427304522020566,1,0.00138316280699335,0.258047150477517,FALSE
"FAM131B",5,11,0,0,3,1.96018849657337,0,0,19.4926488329202,0.164958663135353,0.229286639372775,0.130742594060439,0.00110120491759737,0.711589773086314,0.830632506380491,0.887756073309329,0.679607690273213,0.00141755384267517,0.261920333085058,FALSE
"HAND2",0,12,0,0,1,10.8518097020289,0,0,6.26878115701824,0.000331180651146346,0.690012925623465,0.00105171560539741,0.143817718954885,0.163178651087902,0.830632506380491,0.172733051908689,1,0.00148177915770664,0.27117969804277,FALSE
